case_diary_number,case_recno,case_start,case_closed,case_title,document_date,document_description,document_category,inspection_result_wording,classification,asset_type,asset_identifiers,asset_count,property_designation,address,district,later_approved_in_case,source_case_url
2025-13181,1304019,2025-09-01,2026-06-12,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, L3485364",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3485364,1,Primusköket 1,Essinge Brogata 2,Lilla Essingen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304019?dataSource=Active
2025-13183,1304021,2025-09-01,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, L3110756",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3110756,1,Rekryten 4,Gyllenstiernsgatan 18,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304021?dataSource=Active
2025-13184,1304022,2025-09-01,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, L1142264",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L1142264,1,Piloten 2,Gondolgatan 16,Skarpnäcks Gård,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304022?dataSource=Active
2025-13202,1304040,2025-09-02,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 76186, 76187, 76188, 76189",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,76186 76187 76188 76189,4,Ledarö 3,Lysviksgatan 48,Farsta,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304040?dataSource=Active
2025-13205,1304043,2025-09-02,2026-06-02,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 24090",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,24090,1,Katthuvudet 28,Tavastgatan 22,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304043?dataSource=Active
2025-13206,1304044,2025-09-02,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 47552",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,47552,1,Kusen 2,Väpnargatan 1,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304044?dataSource=Active
2025-13207,1304045,2025-09-02,2026-05-27,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 27079",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,27079,1,Veterinären 13,Skeppargatan 74,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304045?dataSource=Active
2025-13329,1304167,2025-09-04,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-04,"Intyg återkommande besiktning, ej godkänt, 28326",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,28326,1,Hägerberget 39,Döbelnsgatan 4A,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304167?dataSource=Active
2025-13334,1304172,2025-09-04,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-04,"Intyg återkommande besiktning, ej godkänt, D1466764",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1466764,1,Charkuteristen 1,Hallvägen 27,Johanneshov,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304172?dataSource=Active
2025-13360,1304198,2025-09-04,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-04,"Intyg återkommande besiktning, ej godkänt, D1618461",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1618461,1,Riksby 1:47,"Information saknas för ""Adress""",Riksby,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304198?dataSource=Active
2025-13545,1304383,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, S297603",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S297603,1,Bullandö 1,Larsbodavägen 110,Larsboda,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304383?dataSource=Active
2025-13546,1304384,2025-09-05,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2562507",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2562507,1,Reningsverket 1,"Information saknas för ""Adress""",Södra Hammarbyhamnen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304384?dataSource=Active
2025-13547,1304385,2025-09-05,2026-05-28,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2968445",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2968445,1,Duvan 6,Klara Södra Kyrkogata 1,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304385?dataSource=Active
2025-13549,1304387,2025-09-05,2025-12-02,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2983768, L2984632, L2984758, L2994756",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2983768 L2984632 L2984758 L2994756,4,Varmfronten 1,"Skarpnäcks Allé 64, Skarpnäcks Allé 72, Skarpnäcks Allé 74, Varmfrontsgatan 8",Skarpnäcks Gård,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304387?dataSource=Active
2025-13559,1304397,2025-09-08,2026-06-04,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1703900",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1703900,1,Kantjärnet 4,Skebokvarnsvägen 370,Högdalen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304397?dataSource=Active
2025-13560,1304398,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1617339",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1617339,1,Rökhuven 1,Högdalsgången 30,Högdalen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304398?dataSource=Active
2025-13561,1304399,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1765309",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1765309,1,Krysstaket 7,Skebokvarnsvägen 55,Bandhagen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304399?dataSource=Active
2025-13566,1304404,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1770902",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1770902,1,Stillbilden 6,Stallarholmsvägen 20,Högdalen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304404?dataSource=Active
2025-13572,1304410,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7894702",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894702,1,Kullagulla 1,Dartanjangs Gata 56,Mariehäll,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304410?dataSource=Active
2025-13574,1304412,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7902578",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7902578,1,Lasse Liten 1,Pippi Långstrumps Gata 36,Mariehäll,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304412?dataSource=Active
2025-13575,1304413,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7902587",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7902587,1,Lasse Liten 1,Pippi Långstrumps Gata 38,Mariehäll,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304413?dataSource=Active
2025-13577,1304415,2025-09-08,2026-05-26,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1668854",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1668854,1,Dramat 7,Thespisvägen 21,Nockeby,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304415?dataSource=Active
2025-13578,1304416,2025-09-08,2025-11-12,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1667706",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1667706,1,Halsringen 23,Beckombergavägen 56,Norra Ängby,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304416?dataSource=Active
2025-13580,1304418,2025-09-08,2026-05-26,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1608036",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1608036,1,Vedskjulet 4,Godsägarvägen 23,Enskede Gård,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304418?dataSource=Active
2025-13583,1304421,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7141042",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7141042,1,Dalen 6,Åsgärdevägen 99,Gamla Enskede,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304421?dataSource=Active
2025-13588,1304426,2025-09-08,2026-06-04,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7141060, L7141051",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7141060 L7141051,2,Dalen 6,"Åsgärdevägen 105, Åsgärdevägen 107",Gamla Enskede,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304426?dataSource=Active
2025-13590,1304428,2025-09-08,,Anmaning att låta åtgärda trapphiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1670630",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1670630,1,Järflotta 3,Kilsgatan 6,Farsta,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304428?dataSource=Active
2025-13591,1304429,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1673762",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1673762,1,Elektra 11,Västberga Allé 40,Västberga,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304429?dataSource=Active
2025-13594,1304432,2025-09-08,,Anmaning att låta åtgärda trapphiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1608167",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1608167,1,Stenskvättan 16,Schlytersvägen 67,Aspudden,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304432?dataSource=Active
2025-13595,1304433,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2504972",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2504972,1,Gubben Noak 6,Selmedalsvägen 2,Hägersten,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304433?dataSource=Active
2025-13596,1304434,2025-09-08,,Anmaning att låta åtgärda trapphiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1606272",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1606272,1,Lövsalen 2,Maltesholmsvägen 63,Hässelby Gård,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304434?dataSource=Active
2025-13598,1304436,2025-09-08,2026-05-19,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7114698",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,L7114698,1,Vassen 3,"Information saknas för ""Adress""",Hässelby Strand,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304436?dataSource=Active
2025-13613,1304451,2025-09-08,2026-06-02,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7066964",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7066964,1,Eldflugan 1,Kalmgatan 29,Hammarbyhöjden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304451?dataSource=Active
2025-13616,1304454,2025-09-08,2026-07-10,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2576109",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2576109,1,Kastrup 12,Kastrupgatan 7,Kista,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304454?dataSource=Active
2025-13620,1304458,2025-09-08,,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1764796",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,D1764796,1,Hangaren 3,Postflygsgatan 8B,Skarpnäcks Gård,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304458?dataSource=Active
2025-13621,1304459,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7142256",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7142256,1,Storholmen 5,Storholmsbackarna 30,Vårberg,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304459?dataSource=Active
2025-13623,1304461,2025-09-08,2026-06-23,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7142238",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7142238,1,Storholmen 3,Storholmsbackarna 16,Vårberg,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304461?dataSource=Active
2025-13624,1304462,2025-09-08,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2520918",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2520918,1,Odde 1,Kista Alléväg 60,Kista,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304462?dataSource=Active
2025-13626,1304464,2025-09-08,2026-05-19,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7671336",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7671336,1,Helsingör 3,Helsingörsgatan 34,Kista,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304464?dataSource=Active
2025-13627,1304465,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, 57310",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,57310,1,Kolmilan 1,Skyllbergsgatan 9,Hagsätra,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304465?dataSource=Active
2025-13629,1304467,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, 65255",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,65255,1,Trollhättan 30,Hamngatan 37,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304467?dataSource=Active
2025-13632,1304470,2025-09-08,,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L6703213",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,L6703213,1,Murmästare-ämbetet 3,Murmästarvägen 1,Bredäng,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304470?dataSource=Active
2025-13633,1304471,2025-09-09,2025-12-18,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, 26743",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,26743,1,Byggledaren 1,Fredsborgsgatan 4,Liljeholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304471?dataSource=Active
2025-13634,1304472,2025-09-08,,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1683717, L6703419",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,D1683717 L6703419,2,Murmästare-ämbetet 1,"Murmästarvägen 33, Murmästarvägen 43",Bredäng,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304472?dataSource=Active
2025-13635,1304473,2025-09-08,2026-05-26,Anmaning att låta åtgärda trapphiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1605096",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1605096,1,Aspsätra 1,Aspsätravägen 29,Sätra,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304473?dataSource=Active
2025-13637,1304475,2025-09-09,2026-06-11,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1548687",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,D1548687,1,Domnarvet 4,Domnarvsgatan 29,Lunda,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304475?dataSource=Active
2025-13639,1304477,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7894935",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894935,1,Hedvig 22,Spånga Stationsväg 79,Solhem,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304477?dataSource=Active
2025-13640,1304478,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1666808",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1666808,1,Murmästaren 3,Hantverkargatan 29,Kungsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304478?dataSource=Active
2025-13641,1304479,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1741778",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1741778,1,Stigbygeln 5,Sergels Torg 12,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304479?dataSource=Active
2025-13642,1304480,2025-09-09,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1704015",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1704015,1,Rotterdam 1,Hamburgsvägen 7,Ladugårdsgärdet,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304480?dataSource=Active
2025-13643,1304481,2025-09-09,2026-06-03,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1741823",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1741823,1,Stigbygeln 5,Sergels Torg 12,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304481?dataSource=Active
2025-13645,1304483,2025-09-09,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1767041",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1767041,1,Trollhättan 30,Hamngatan 37,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304483?dataSource=Active
2025-13646,1304484,2025-09-09,2026-06-05,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2507291",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2507291,1,Eldaren 8,Birkagatan 21A,Vasastaden,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304484?dataSource=Active
2025-13647,1304485,2025-09-08,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7894882",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894882,1,Hedvig 22,Spånga Stationsväg 69,Solhem,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304485?dataSource=Active
2025-13648,1304486,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2541780",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2541780,1,Bananen 5,Pipersgatan 4,Kungsholmen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304486?dataSource=Active
2025-13649,1304487,2025-09-08,2026-05-19,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7894891",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894891,1,Hedvig 22,Spånga Stationsväg 71,Solhem,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304487?dataSource=Active
2025-13650,1304488,2025-09-08,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt,",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,,0,Hedvig 22,Spånga Stationsväg 77,Solhem,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304488?dataSource=Active
2025-13652,1304490,2025-09-09,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7043943",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7043943,1,Italien Större 16,Snickarbacken 2,Norrmalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304490?dataSource=Active
2025-13653,1304491,2025-09-09,2025-11-24,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7447981",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7447981,1,Hägerberget 56,Kammakargatan 12,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304491?dataSource=Active
2025-13654,1304492,2025-09-08,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1540174",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1540174,1,Gudbjörn 6,Sörgårdsvägen 48,Solhem,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304492?dataSource=Active
2025-13656,1304494,2025-09-09,2026-05-19,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1303252",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,D1303252,1,Sockerbetan 1,Närkesgatan 1,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304494?dataSource=Active
2025-13657,1304495,2025-09-09,2026-06-03,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2946094",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,L2946094,1,Kofoten 1,Heleneborgsgatan 2A,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304495?dataSource=Active
2025-13660,1304498,2025-09-09,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1604908",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1604908,1,Pelarbacken Större 4,Götgatan 37,Södermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304498?dataSource=Active
2025-13661,1304499,2025-09-09,,Anmaning att låta åtgärda port samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7671229",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,POWERED_GATE_OR_DOOR,L7671229,1,Dagskiftet 5,Elektravägen 2,Västberga,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304499?dataSource=Active
2025-13663,1304501,2025-09-09,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1606229",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1606229,1,Norra Djurgården 1:1,Södra Fiskartorpsvägen 15A,Norra Djurgården,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304501?dataSource=Active
2025-13664,1304502,2025-09-09,2026-05-26,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1608812",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1608812,1,Tjurberget 4,Ringvägen 107A,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304502?dataSource=Active
2025-13665,1304503,2025-09-09,2026-06-03,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7142265",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7142265,1,Storholmen 5,Storholmsbackarna 38,Vårberg,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304503?dataSource=Active
2025-13666,1304504,2025-09-09,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2985159",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2985159,1,Kontorsskylten 8,Solursgränd 6,Vällingby,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304504?dataSource=Active
